Run,astrological_experience,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12
12771007,0,A,C,B,D,A,E,C,B,D,E,B,A
12770958,0,C,C,C,B,C,D,D,E,C,A,E,B
12770931,0,C,B,D,A,A,C,D,E,C,B,A,B
12770881,0,C,C,C,C,C,C,C,C,C,C,C,C
12770874,0,C,E,D,A,D,E,B,B,A,C,D,A
12770844,0,C,A,D,C,C,E,B,D,A,A,E,C
12770842,0,A,E,C,D,D,B,E,C,E,D,E,D
12770743,0,C,D,A,E,C,B,E,A,D,A,E,B
12770725,0,A,B,B,A,D,E,A,C,A,B,C,D
12770717,0,C,A,D,E,D,A,B,C,C,E,D,D
12770681,0,B,E,A,E,C,E,A,E,A,B,C,E
12770677,0,A,E,C,E,C,C,D,B,C,A,E,E
12770676,0,B,A,E,D,B,A,D,B,A,E,D,C
12770669,0,B,E,A,C,E,D,C,B,A,C,D,E
12770648,0,B,E,C,D,A,C,E,A,D,B,C,D
12770645,0,B,A,C,B,D,E,B,C,B,C,C,D
12770631,0,E,C,C,B,A,A,D,E,C,B,E,A
12770620,0,B,D,D,A,E,B,C,D,C,E,B,C
12770618,0,E,C,B,C,E,D,A,E,B,D,A,E
12770601,0,C,C,E,D,E,B,C,A,E,B,E,D
12770304,0,C,B,C,D,A,E,A,E,D,C,B,E
12770155,0,A,B,C,D,B,C,E,C,C,D,C,D
12770137,0,A,D,D,B,C,A,B,E,A,A,D,C
12770110,0,B,E,E,E,B,A,E,C,E,C,E,E
12770063,0,D,C,A,D,B,D,E,A,B,C,A,E
12770040,0,D,B,A,E,B,B,C,E,D,E,B,D
12770036,0,E,A,C,D,E,B,D,A,E,A,A,A
12770035,0,A,C,D,B,E,C,A,C,E,B,A,D
12769659,0,D,C,D,E,B,C,A,E,B,C,E,A
12769439,0,B,A,A,D,E,C,A,E,D,B,C,A
12769433,0,B,D,E,C,A,B,D,B,A,E,C,B
12769412,0,A,D,B,C,E,A,B,C,B,E,A,A
12769200,0,C,A,C,D,B,B,E,C,A,D,E,A
12768866,0,E,A,C,C,E,A,E,A,A,D,B,C
12768185,0,B,C,B,A,E,C,A,B,E,E,B,D
12765880,0,B,E,A,C,D,D,E,C,A,B,B,A
12765587,0,C,E,D,A,C,E,B,D,A,B,A,C
12765210,0,D,A,C,B,A,B,C,E,D,B,E,B
12764955,0,B,E,C,C,C,C,D,C,B,B,B,C
12764660,0,C,E,C,C,E,D,D,C,D,C,B,D
